Age,Ache,Agta,Hadza,Hiwi,!Kung,HG Mean,Aborigine,Gainj,Tsimane,Yanomamo,Herero,NF Mean,H.s. Mean,Gombe,Kanyawara,Mahale,Ngogo,Tai,P.t. Mean,Gambia,Taronga
0,0.8828,0.6038,0.7842,0.7653,0.7985,0.7669,0.859,0.8298,0.8716,0.8141,0.8676,0.8485,0.8077,0.8495,0.9112,0.6457,0.8132,0.8973,0.8234,0.9478,0.8503
1,0.935,0.8885,0.8995,0.9214,0.9006,0.909,0.9466,0.9251,0.9535,0.98,0.9431,0.9496,0.9293,0.8816,0.9209,0.7633,0.9772,0.8943,0.8875,0.9767,0.9702
2,0.9615,0.9677,0.9513,0.965,0.9501,0.9591,0.9799,0.966,0.9798,0.9885,0.975,0.9778,0.9685,0.9065,0.9294,0.8463,0.9938,0.8912,0.9134,0.9783,0.9811
3,0.9747,0.986,0.9734,0.9762,0.973,0.9767,0.992,0.9827,0.9879,0.9889,0.988,0.9879,0.9823,0.9254,0.9368,0.9018,0.9951,0.8881,0.9294,0.9779,0.9819
4,0.9811,0.9898,0.9826,0.979,0.9833,0.9832,0.9963,0.9894,0.9904,0.9889,0.9932,0.9916,0.9874,0.9396,0.9431,0.9378,0.995,0.885,0.9401,0.9773,0.9818
5,0.9843,0.9904,0.9863,0.9797,0.9878,0.9857,0.9978,0.9919,0.9911,0.9889,0.9952,0.993,0.9893,0.9503,0.9486,0.9606,0.9947,0.8818,0.9472,0.9766,0.9817
6,0.9858,0.9902,0.9879,0.9798,0.9897,0.9867,0.9983,0.9927,0.9913,0.9889,0.996,0.9934,0.9901,0.9581,0.9533,0.9749,0.9944,0.8786,0.9518,0.9759,0.9815
7,0.9866,0.9899,0.9885,0.9799,0.9905,0.9871,0.9984,0.9929,0.9914,0.9889,0.9962,0.9936,0.9903,0.9637,0.9573,0.9837,0.9941,0.8753,0.9548,0.9752,0.9814
8,0.9869,0.9895,0.9888,0.9799,0.9907,0.9871,0.9984,0.9927,0.9914,0.9889,0.9963,0.9935,0.9903,0.9676,0.9607,0.9891,0.9938,0.872,0.9566,0.9745,0.9812
9,0.9871,0.989,0.9889,0.9799,0.9906,0.9871,0.9984,0.9925,0.9914,0.9888,0.9962,0.9935,0.9903,0.9702,0.9635,0.9923,0.9934,0.8687,0.9576,0.9738,0.981
