Age,Ache,Agta,Hadza,Hiwi,!Kung,HG Mean,Aborigine,Gainj,Tsimane,Yanomamo,Herero,NF Mean,H.s. Mean,Gombe,Kanyawara,Mahale,Ngogo,Tai,P.t. Mean,Gambia,Taronga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966
10,0,0,0,0,0,0,0.0092,0,0,0,0,0.0019,0.0009,0,0.0188,0.0337,0.0188,0.0359,0.0214,0.0231,0.1163
11,0,0,0,0,0,0,0.0188,0,0,0,0,0.0038,0.0019,0.0259,0.0366,0.0629,0.0366,0.065,0.0428,0.0549,0.1339
12,0.0121,0,0,0.0112,0,0.0047,0.0283,0,0.0189,0,0,0.0094,0.007,0.0484,0.0534,0.0878,0.0534,0.089,0.0614,0.078,0.1463
13,0.0248,0,0,0.0224,0,0.0095,0.038,0,0.038,0,0,0.0152,0.0123,0.0673,0.0692,0.1079,0.0692,0.1066,0.0771,0.0889,0.1493
14,0.038,0,0.0202,0.0337,0,0.0184,0.0484,0,0.0573,0,0,0.0212,0.0198,0.0825,0.0839,0.1231,0.0839,0.1169,0.0896,0.096,0.1436
15,0.0512,0.034,0.0389,0.045,0,0.0338,0.0587,0,0.0759,0.1505,0.0521,0.0675,0.0506,0.0944,0.0977,0.1341,0.0977,0.1218,0.0995,0.1001,0.134
16,0.0643,0.0463,0.056,0.0562,0.0217,0.0489,0.0683,0,0.0939,0.1827,0.0648,0.082,0.0654,0.1033,0.1104,0.1417,0.1104,0.1232,0.1072,0.102,0.1253
