"","id","lng","lro","asm","afr","alr","meno","store_total","store_av","store_sd","prod_total","prod_av","prod_sd","outdeg_total","outdeg_av","outdeg_sd","indeg_total","indeg_av","indeg_sd"
"1",1,42,1,11,42,42,NA,161,4.87878787878788,1.84995904950582,44,1.33333333333333,1.91485421551268,126,3.81818181818182,2.32452341156399,124,3.75757575757576,1.78588743749262
"2",2,19,1,11,19,19,NA,53,5.3,2.5407785333546,32,3.2,1.68654808542314,53,5.3,3.09300285590988,40,4,2.35702260395516
"3",3,99,0,11,NA,NA,61,415,4.61111111111111,2.10774091986383,98,1.08888888888889,1.77146193954201,319,3.54444444444444,2.61439881207215,310,3.44444444444444,1.9723431061404
"4",4,97,2,11,18,25,41,536,6.09090909090909,3.08737273882215,49,0.556818181818182,1.32922892301536,364,4.13636363636364,2.80058211593372,422,4.79545454545455,2.82907356961214
"5",5,12,1,11,12,12,NA,14,4.66666666666667,4.72581562625261,8,2.66666666666667,2.3094010767585,7,2.33333333333333,2.08166599946613,11,3.66666666666667,3.78593889720018
"6",6,98,0,11,NA,NA,61,426,4.78651685393258,1.93925893831287,100,1.12359550561798,1.76982423831437,340,3.82022471910112,2.53861897742923,328,3.68539325842697,1.81280486851665
"7",7,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"8",8,14,1,11,14,14,NA,23,4.6,3.43511280746353,20,4,0,22,4.4,1.51657508881031,16,3.2,3.19374388453426
"9",9,33,1,11,33,33,NA,125,5.20833333333333,2.26464637160105,40,1.66666666666667,2.01444062074134,104,4.33333333333333,3.01686083128843,97,4.04166666666667,2.25502659131466
"10",10,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"11",11,15,1,11,15,15,NA,30,5,2.75680975041804,12,2,2.19089023002066,21,3.5,3.39116499156263,24,4,2.82842712474619
"12",12,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"13",13,99,8,11,17,60,61,535,5.94444444444444,3.12784202850877,86,0.955555555555556,1.6551663150834,348,3.86666666666667,2.68244396362301,431,4.78888888888889,2.86981361977302
"14",14,98,0,11,NA,NA,61,421,4.73033707865169,2.27518253485407,101,1.13483146067416,1.76577958083388,336,3.7752808988764,2.67034560662764,323,3.62921348314607,2.13936068653438
"15",15,18,1,11,18,18,NA,53,5.88888888888889,2.57120810342359,24,2.66666666666667,2,49,5.44444444444444,2.60341655863555,43,4.77777777777778,2.4381231397213
